shot_id,x,y,team_id,made,description,meta,flag2
2844705019,10.0,61.0,201,False,2nd 15:52:00 : missed by Andre Washington(Eastern Ill.) 31-54,period_2 player_787642131 team_201,False
2844705030,7.0,96.0,201,False,2nd 15:35:00 : missed by Kooper Jacobi(Eastern Ill.) 31-56,period_2 player_787642130 team_201,False
2844705032,94.0,54.0,311,True,2nd 15:27:00 : made by Nate Heise(Iowa St.) 31-58,period_2 player_787642112 team_311,False
2844705042,13.0,43.0,201,False,2nd 14:41:00 : missed by Preston Turner(Eastern Ill.) 31-58,period_2 player_787642133 team_201,False
2844705054,92.0,61.0,311,True,2nd 14:04:00 : made by Jamarion Batemon(Iowa St.) 33-60,period_2 player_787642124 team_311,False
2844705055,7.0,45.0,201,False,2nd 13:38:00 : missed by Andre Washington(Eastern Ill.) 33-60,period_2 player_787642131 team_201,False
2844705058,70.0,66.0,311,False,2nd 13:32:00 : missed by Milan Momcilovic(Iowa St.) 33-60,period_2 player_787642122 team_311,False
2844705060,92.0,50.0,311,False,2nd 13:17:00 : missed by Joshua Jefferson(Iowa St.) 33-60,period_2 player_787642116 team_311,False
2844705068,70.0,30.0,311,False,2nd 12:43:00 : missed by Tamin Lipsey(Iowa St.) 33-60,period_2 player_787642114 team_311,False
2844705070,7.0,48.0,201,False,2nd 12:35:00 : missed by Zion Fruster(Eastern Ill.) 33-60,period_2 player_787642132 team_201,False
2844705072,89.0,43.0,311,False,2nd 12:18:00 : missed by Killyan Toure(Iowa St.) 33-60,period_2 player_787642126 team_311,False
2844705074,94.0,50.0,311,True,2nd 12:14:00 : made by Blake Buchanan(Iowa St.) 33-62,period_2 player_787642119 team_311,False
2844705075,7.0,53.0,201,True,2nd 11:51:00 : made by Kooper Jacobi(Eastern Ill.) 35-62,period_2 player_787642130 team_201,False
2844705082,7.0,5.0,201,False,2nd 11:18:00 : missed by Kooper Jacobi(Eastern Ill.) 35-62,period_2 player_787642130 team_201,False
2844705088,12.0,36.0,201,False,2nd 10:49:00 : missed by Zion Fruster(Eastern Ill.) 35-62,period_2 player_787642132 team_201,False
2844705090,8.0,50.0,201,True,2nd 10:45:00 : made by Kooper Jacobi(Eastern Ill.) 37-62,period_2 player_787642130 team_201,False
2844705100,93.0,46.0,311,True,2nd 10:06:00 : made by Blake Buchanan(Iowa St.) 37-65,period_2 player_787642119 team_311,False
2844705102,9.0,95.0,201,False,2nd 09:46:00 : missed by Andre Washington(Eastern Ill.) 37-65,period_2 player_787642131 team_201,False
2844705104,84.0,6.0,311,False,2nd 09:28:00 : missed by Jamarion Batemon(Iowa St.) 37-65,period_2 player_787642124 team_311,False
2844705106,9.0,4.0,201,False,2nd 09:17:00 : missed by Preston Turner(Eastern Ill.) 37-65,period_2 player_787642133 team_201,False
2844705110,13.0,61.0,201,False,2nd 08:32:00 : missed by Andre Washington(Eastern Ill.) 37-65,period_2 player_787642131 team_201,False
2844705126,9.0,52.0,201,False,2nd 07:49:00 : missed by Markus Blackwell(Eastern Ill.) 37-66,period_2 player_787642136 team_201,False
2844705128,67.0,30.0,311,False,2nd 07:43:00 : missed by Jamarion Batemon(Iowa St.) 37-66,period_2 player_787642124 team_311,False
2844705130,6.0,49.0,201,True,2nd 07:37:00 : made by Zion Fruster(Eastern Ill.) 39-66,period_2 player_787642132 team_201,False
2844705135,93.0,54.0,311,True,2nd 07:17:00 : made by Joshua Jefferson(Iowa St.) 39-68,period_2 player_787642116 team_311,False
2844705137,20.0,45.0,201,False,2nd 06:58:00 : missed by Zion Fruster(Eastern Ill.) 39-68,period_2 player_787642132 team_201,False
2844705139,93.0,57.0,311,True,2nd 06:46:00 : made by Tamin Lipsey(Iowa St.) 39-70,period_2 player_787642114 team_311,False
2844705140,7.0,43.0,201,False,2nd 06:17:00 : missed by Andre Washington(Eastern Ill.) 39-70,period_2 player_787642131 team_201,False
2844705142,92.0,47.0,311,False,2nd 06:09:00 : missed by Dominick Nelson(Iowa St.) 39-70,period_2 player_787642123 team_311,False
2844705146,93.0,48.0,311,True,2nd 05:58:00 : made by Killyan Toure(Iowa St.) 39-72,period_2 player_787642126 team_311,False
2844705148,32.0,46.0,201,False,2nd 05:36:00 : missed by Preston Turner(Eastern Ill.) 39-72,period_2 player_787642133 team_201,False
2844705164,8.0,48.0,201,True,2nd 05:10:00 : made by Nazareth Fisher(Eastern Ill.) 41-74,period_2 player_787642134 team_201,False
2844705165,66.0,48.0,311,False,2nd 04:56:00 : missed by Joshua Jefferson(Iowa St.) 41-74,period_2 player_787642116 team_311,False
2844705173,8.0,55.0,201,True,2nd 04:35:00 : made by Zion Fruster(Eastern Ill.) 43-76,period_2 player_787642132 team_201,False
2844705174,93.0,94.0,311,False,2nd 04:19:00 : missed by Tamin Lipsey(Iowa St.) 43-76,period_2 player_787642114 team_311,False
2844705176,69.0,36.0,311,False,2nd 04:14:00 : missed by Jamarion Batemon(Iowa St.) 43-76,period_2 player_787642124 team_311,False
2844705178,96.0,96.0,311,False,2nd 04:00:00 : missed by Nate Heise(Iowa St.) 43-76,period_2 player_787642112 team_311,False
2844705180,90.0,61.0,311,False,2nd 03:55:00 : missed by Killyan Toure(Iowa St.) 43-76,period_2 player_787642126 team_311,False
2844705182,29.0,25.0,201,False,2nd 03:38:00 : missed by Zion Fruster(Eastern Ill.) 43-76,period_2 player_787642132 team_201,False
2844705184,93.0,43.0,311,False,2nd 03:29:00 : missed by Jamarion Batemon(Iowa St.) 43-76,period_2 player_787642124 team_311,False
2844705186,23.0,84.0,201,True,2nd 03:23:00 : made by Markus Blackwell(Eastern Ill.) 46-76,period_2 player_787642136 team_201,False
2844705201,8.0,55.0,201,False,2nd 02:59:00 : missed by Zion Fruster(Eastern Ill.) 46-76,period_2 player_787642132 team_201,False
2844705203,6.0,50.0,201,True,2nd 02:55:00 : made by Meechie White(Eastern Ill.) 48-76,period_2 player_787642138 team_201,False
2844705208,89.0,96.0,311,False,2nd 02:25:00 : missed by Jamarion Batemon(Iowa St.) 48-76,period_2 player_787642124 team_311,False
2844705212,20.0,78.0,201,False,2nd 02:13:00 : missed by Meechie White(Eastern Ill.) 48-76,period_2 player_787642138 team_201,False
2844705221,10.0,94.0,201,True,2nd 01:39:00 : made by Meechie White(Eastern Ill.) 51-77,period_2 player_787642138 team_201,False
2844705228,9.0,40.0,201,False,2nd 01:06:00 : missed by Zion Fruster(Eastern Ill.) 51-78,period_2 player_787642132 team_201,False
2844705238,10.0,5.0,201,False,2nd 00:49:90 : missed by Preston Turner(Eastern Ill.) 51-78,period_2 player_787642133 team_201,False
2844705240,90.0,95.0,311,False,2nd 00:38:00 : missed by Xzavion Mitchell(Iowa St.) 51-78,period_2 player_787642127 team_311,False
2844705242,90.0,44.0,311,False,2nd 00:33:00 : missed by Eric Mulder(Iowa St.) 51-78,period_2 player_787642118 team_311,False
2846217863,7.0,54.0,311,True,1st 19:37:00 : made by Blake Buchanan(Iowa St.) 0-2,period_1 player_787731606 team_311,False
2846217865,91.0,96.0,99,False,1st 19:15:00 : missed by Petar Majstorovic(Long Beach St.) 0-2,period_1 player_787731622 team_99,False
2846217867,7.0,61.0,311,False,1st 18:55:00 : missed by Tamin Lipsey(Iowa St.) 0-2,period_1 player_787731603 team_311,False
2846217869,6.0,50.0,311,True,1st 18:52:00 : made by Blake Buchanan(Iowa St.) 0-4,period_1 player_787731606 team_311,False
2846217872,93.0,43.0,99,True,1st 18:30:00 : made by Gavin Sykes(Long Beach St.) 2-4,period_1 player_787731625 team_99,False
2846217881,31.0,34.0,311,False,1st 17:41:00 : missed by Killyan Toure(Iowa St.) 2-5,period_1 player_787731612 team_311,False
2846217883,8.0,48.0,311,True,1st 17:36:00 : made by Tamin Lipsey(Iowa St.) 2-7,period_1 player_787731603 team_311,False
2846217884,67.0,62.0,99,False,1st 17:07:00 : missed by Gavin Sykes(Long Beach St.) 2-7,period_1 player_787731625 team_99,False
